case	Upstream priority	Upstream target	Upstream owner	Tested feature
test/distributed/fsdp/test_checkpoint_wrapper.py	P1	2.9	Libo	distributed
test/distributed/fsdp/test_distributed_checkpoint.py	P1	2.9	Libo	distributed
test/distributed/fsdp/test_fsdp_apply.py	P1	2.9	Libo	distributed
test/distributed/fsdp/test_fsdp_backward_prefetch.py	P1	2.9	Libo	distributed
test/distributed/fsdp/test_fsdp_checkpoint.py	P1	2.9	Libo	distributed
test/distributed/fsdp/test_fsdp_clip_grad_norm.py	P1	2.9	Libo	distributed
test/distributed/fsdp/test_fsdp_comm.py	P1	2.9	Libo	distributed
test/distributed/fsdp/test_fsdp_comm_hooks.py	P1	2.9	Libo	distributed
test/distributed/fsdp/test_fsdp_core.py	P1	2.9	Libo	distributed
test/distributed/fsdp/test_fsdp_dtensor_state_dict.py	P1	2.9	Libo	distributed
test/distributed/fsdp/test_fsdp_exec_order.py	P1	2.9	Libo	distributed
test/distributed/fsdp/test_fsdp_fine_tune.py	P1	2.9	Daisy	distributed
test/distributed/fsdp/test_fsdp_flatten_params.py	P1	2.9	Daisy	distributed
test/distributed/fsdp/test_fsdp_freezing_weights.py	P1	2.9	Daisy	distributed
test/distributed/fsdp/test_fsdp_fx.py	P1	2.9	Daisy	distributed
test/distributed/fsdp/test_fsdp_grad_acc.py	P1	2.9	Daisy	distributed
test/distributed/fsdp/test_fsdp_hybrid_shard.py	P1	2.9	Daisy	distributed
test/distributed/fsdp/test_fsdp_ignored_modules.py	P1	2.9	Daisy	distributed
test/distributed/fsdp/test_fsdp_input.py	P1	2.9	Daisy	distributed
test/distributed/fsdp/test_fsdp_memory.py	P1	2.9	Daisy	distributed
test/distributed/fsdp/test_fsdp_meta.py	P1	2.9	Daisy	distributed
test/distributed/fsdp/test_fsdp_misc.py	P1	2.9	Daisy	distributed
test/distributed/fsdp/test_fsdp_mixed_precision.py	P1	2.9	Daisy	distributed
test/distributed/fsdp/test_fsdp_multiple_forward.py	P1	2.9	Daisy	distributed
test/distributed/fsdp/test_fsdp_multiple_wrapping.py	P1	2.9	Daisy	distributed
test/distributed/fsdp/test_fsdp_optim_state.py	P1	2.9	Daisy	distributed
test/distributed/fsdp/test_fsdp_overlap.py	P1	2.9	Daisy	distributed
test/distributed/fsdp/test_fsdp_pure_fp16.py	P1	2.9	Daisy	distributed
test/distributed/fsdp/test_fsdp_sharded_grad_scaler.py	P1	2.9	Daisy	distributed
test/distributed/fsdp/test_fsdp_state_dict.py	P1	2.9	Daisy	distributed
test/distributed/fsdp/test_fsdp_tp_integration.py	P1	2.9	Daisy	distributed
test/distributed/fsdp/test_fsdp_traversal.py	P1	2.9	Daisy	distributed
test/distributed/fsdp/test_fsdp_uneven.py	P1	2.9	Daisy	distributed
test/distributed/fsdp/test_fsdp_unshard_params.py	P1	2.9	Daisy	distributed
test/distributed/fsdp/test_fsdp_use_orig_params.py	P1	2.9	Daisy	distributed
test/distributed/fsdp/test_hsdp_dtensor_state_dict.py	P1	2.9	Daisy	distributed
test/distributed/fsdp/test_shard_utils.py	P1	2.9	Daisy	distributed
test/distributed/fsdp/test_utils.py	P1	2.9	Daisy	distributed
test/distributed/fsdp/test_wrap.py	P1	2.9	Daisy	distributed
test/distributed/pipelining/test_backward.py	P1	2.9	Wei	distributed
test/distributed/pipelining/test_microbatch.py	P1	2.9	Wei	distributed
test/distributed/pipelining/test_pipe.py	P1	2.9	Wei	distributed
test/distributed/pipelining/test_schedule_multiproc.py	P1	2.9	Wei	distributed
test/distributed/pipelining/test_transformer.py	P1	2.9	Wei	distributed
test/distributed/pipelining/test_unflatten.py	P1	2.9	Wei	distributed
test/distributed/rpc/cuda/test_tensorpipe_agent.py	P1			distributed
test/distributed/tensor/debug/test_op_coverage.py	P1			distributed
test/distributed/tensor/experimental/test_register_sharding.py	P1	2.9	Wei	distributed
test/distributed/tensor/parallel/test_micro_pipeline_tp.py	P1	2.9	Wei	distributed
test/distributed/tensor/parallel/test_tp_examples.py	P1	2.9	Wei	distributed
test/distributed/tensor/parallel/test_tp_random_state.py	P1	2.9	Wei	distributed
test/distributed/tensor/test_api.py	P1	2.9	Wei	distributed
test/distributed/tensor/test_attention.py	P1	2.9	Wei	distributed
test/distributed/tensor/test_common_rules.py	P1	2.9	Wei	distributed
test/distributed/tensor/test_dtensor.py	P1	2.9	Wei	distributed
test/distributed/tensor/test_dtensor_compile.py	P1	2.9	Wei	distributed
test/distributed/tensor/test_experimental_ops.py	P1	2.9	Wei	distributed
test/distributed/tensor/test_init.py	P1	2.9	Wei	distributed
test/distributed/tensor/test_math_ops.py	P1	2.9	Wei	distributed
test/distributed/tensor/test_random_ops.py	P1	2.9	Wei	distributed
test/distributed/tensor/test_redistribute.py	P1	2.9	Wei	distributed
test/distributed/tensor/test_tensor_ops.py	P1	2.9	Wei	distributed
test/distributed/tensor/test_xla_integration.py	P1	2.9	Wei	distributed
test/distributed/test_backends.py	P1	2.9	Daisy	distributed
test/distributed/test_c10d_common.py	P1	2.9	Daisy	distributed
test/distributed/test_c10d_functional_native.py	P1	2.9	Daisy	distributed
test/distributed/test_c10d_gloo.py	P1			distributed
test/distributed/test_c10d_nccl.py	P1			distributed
test/distributed/test_c10d_spawn_gloo.py	P1			distributed
test/distributed/test_c10d_spawn_nccl.py	P1			distributed
test/distributed/test_compute_comm_reordering.py	P1	2.9	Daisy	distributed
test/distributed/test_device_mesh.py	P1	2.9	Daisy	distributed
test/distributed/test_dynamo_distributed.py	P1	2.9	Daisy	distributed
test/distributed/test_functional_api.py	P1	2.9	Daisy	distributed
test/distributed/test_inductor_collectives.py	P1	2.9	Daisy	distributed
test/distributed/test_pg_wrapper.py	P1	n/a	Daisy	distributed
test/distributed/test_store.py	P1	2.9	Daisy	distributed
test/distributed/test_symmetric_memory.py	P1	n/a	Daisy	distributed
test/distributed/elastic/events/lib_test.py	P1			distributed
test/distributed/elastic/test_control_plane.py	P1			distributed
python test/run_test.py --cpp --verbose -i cpp/FileStoreTest	P4			cpp
    python test/run_test.py --cpp --verbose -i cpp/HashStoreTest	P4			cpp
    python test/run_test.py --cpp --verbose -i cpp/TCPStoreTest	P4			cpp
"MPICMD=""${MPIEXEC} -np 2 $TORCH_BIN_DIR/ProcessGroupMPITest"""	P4			cpp
python test/run_test.py --cpp --verbose -i cpp/ProcessGroupGlooTest	P4			cpp
      python test/run_test.py --cpp --verbose -i cpp/ProcessGroupNCCLTest	P4			cpp
      python test/run_test.py --cpp --verbose -i cpp/ProcessGroupNCCLErrorsTest	P4			cpp
"PYTHONPATH=$(pwd)/benchmarks/dynamo/pr_time_benchmarks source benchmarks/dynamo/pr_time_benchmarks/benchmark_runner.sh ""$TEST_REPORTS_DIR/pr_time_benchmarks_results.csv"" ""benchmarks/dynamo/pr_time_benchmarks/benchmarks"""				benchmark
"PYTHONPATH=$(pwd)/benchmarks/dynamo/pr_time_benchmarks python benchmarks/dynamo/pr_time_benchmarks/check_results.py ""benchmarks/dynamo/pr_time_benchmarks/expected_results.csv"" ""$TEST_REPORTS_DIR/pr_time_benchmarks_results.csv"" ""$TEST_REPORTS_DIR/new_expected_results.csv"""				benchmark
test/test_public_bindings.py				runtime
test/distributed/optim/test_apply_optimizer_in_backward.py	P1	2.9	Daisy	distributed
test/distributed/optim/test_named_optimizer.py	P1			distributed
test/distributed/optim/test_zero_redundancy_optimizer.py	P1			distributed
test/distributed/checkpoint/test_checkpoint.py	P1			distributed
test_compatibility.py	P1			distributed
test_dedup_tensors.py	P1			distributed
test_dtensor_checkpoint.py	P1			distributed
test_dtensor_resharding.py	P1			distributed
test_file_system_checkpoint_cpu.py	P1			distributed
test_file_system_checkpoint.py	P1			distributed
test_format_utils.py	P1			distributed
test_fsdp_model_state.py	P1			distributed
test_fsdp_optim_state.py	P1			distributed
test_fsdp_tp_checkpoint_conversion.py	P1			distributed
test_fsspec.py	P1			distributed
test_hf_safetensor_e2e.py	P1			distributed
test_hf_storage.py	P1			distributed
test_hsdp_checkpoint.py	P1			distributed
test_nested_dict.py	P1			distributed
test_planner.py	P1			distributed
test_save_load_api.py	P1			distributed
test_state_dict.py	P1			distributed
test_state_dict_stager.py	P1			distributed
test_state_dict_utils.py	P1			distributed
test_tp_checkpoint.py	P1			distributed
test_traverse.py	P1			distributed
test_utils.py	P1			distributed
test/distributed/checkpoint/_experimental//test_barriers.py	P1			distributed
test_checkpointer.py	P1			distributed
test_checkpoint_reader.py	P1			distributed
test_checkpoint_writer.py	P1			distributed
test_types.py	P1			distributed
test/distributed/checkpoint/fsdp/test_fsdp_dsd.py	P1			distributed
test/distributed/checkpoint/e2e/test_e2e_save_and_load.py	P1			distributed
test_fine_tuning.py	P1			distributed
test_fsdp_ep.py	P1			distributed
/home/sdp/daisyden/ut/triage_bot/0625/test/distributed/elastic/events/lib_test.py	P1			distributed
/home/sdp/daisyden/ut/triage_bot/0625/test/distributed/elastic/agent/server/test/local_elastic_agent_test.py	P1			distributed
/home/sdp/daisyden/ut/triage_bot/0625/test/distributed/elastic/agent/server/test/api_test.py	P1			distributed
/home/sdp/daisyden/ut/triage_bot/0625/test/distributed/elastic/multiprocessing/redirects_test.py	P1			distributed
/home/sdp/daisyden/ut/triage_bot/0625/test/distributed/elastic/multiprocessing/bin/zombie_test.py	P1			distributed
/home/sdp/daisyden/ut/triage_bot/0625/test/distributed/elastic/multiprocessing/tail_log_test.py	P1			distributed
/home/sdp/daisyden/ut/triage_bot/0625/test/distributed/elastic/multiprocessing/errors/error_handler_test.py	P1			distributed
/home/sdp/daisyden/ut/triage_bot/0625/test/distributed/elastic/multiprocessing/errors/api_test.py	P1			distributed
/home/sdp/daisyden/ut/triage_bot/0625/test/distributed/elastic/multiprocessing/api_test.py	P1			distributed
/home/sdp/daisyden/ut/triage_bot/0625/test/distributed/elastic/timer/file_based_local_timer_test.py	P1			distributed
/home/sdp/daisyden/ut/triage_bot/0625/test/distributed/elastic/timer/local_timer_test.py	P1			distributed
/home/sdp/daisyden/ut/triage_bot/0625/test/distributed/elastic/timer/api_test.py	P1			distributed
/home/sdp/daisyden/ut/triage_bot/0625/test/distributed/elastic/rendezvous/out_of_tree_test_package/src/testbackend/__init__.py	P1			distributed
/home/sdp/daisyden/ut/triage_bot/0625/test/distributed/elastic/rendezvous/out_of_tree_test_package/pyproject.toml	P1			distributed
/home/sdp/daisyden/ut/triage_bot/0625/test/distributed/elastic/rendezvous/etcd_rendezvous_test.py	P1			distributed
/home/sdp/daisyden/ut/triage_bot/0625/test/distributed/elastic/rendezvous/static_rendezvous_test.py	P1			distributed
/home/sdp/daisyden/ut/triage_bot/0625/test/distributed/elastic/rendezvous/etcd_server_test.py	P1			distributed
/home/sdp/daisyden/ut/triage_bot/0625/test/distributed/elastic/rendezvous/dynamic_rendezvous_test.py	P1			distributed
/home/sdp/daisyden/ut/triage_bot/0625/test/distributed/elastic/rendezvous/rendezvous_backend_test.py	P1			distributed
/home/sdp/daisyden/ut/triage_bot/0625/test/distributed/elastic/rendezvous/c10d_rendezvous_backend_test.py	P1			distributed
